Date,Close,High,Low,Open,Volume
2020-09-01,326.4399109,326.5417362,323.3291813,324.2272162,54908700
2020-09-02,331.1615906,332.1336778,327.2083716,328.356393,69540000
2020-09-03,319.7649231,329.9395467,317.1726431,329.4673754,148011100
2020-09-04,317.1540833,322.0238146,310.0253497,320.4499578,139156300
2020-09-08,308.4884644,317.2188549,308.1829602,311.7287922,114465300
2020-09-09,314.5803833,317.0522754,311.6362917,312.5065537,91462300
2020-09-10,309.118103,317.1170709,308.1552546,316.459755,90569500
2020-09-11,309.2755127,311.9696182,306.4425416,310.9049443,84680200
2020-09-14,313.3490295,315.1265937,309.4236119,312.4509945,65605700
2020-09-15,314.9321899,316.6449125,313.3583047,315.8116908,52920900
2020-09-16,313.682312,317.6077294,313.4045526,316.1727381,82096000
2020-09-17,310.9234619,312.6454801,308.2849026,308.8126201,91523300
2020-09-18,307.3437805,311.8426246,304.85269,311.7310875,105877900
2020-09-21,303.9232483,304.071974,299.0526031,302.7427755,99450800
2020-09-22,307.0185547,307.5762689,302.891509,305.4105131,63612100
2020-09-23,299.8984985,307.8551384,299.3965529,307.5762671,93112200
2020-09-24,300.6978455,303.765231,297.2586316,298.5785542,76681300
2020-09-25,305.5592041,306.3492685,298.968952,299.8426692,71069400
2020-09-28,310.6342468,311.3499623,308.7380306,309.7326172,64584600
2020-09-29,308.942627,311.1734553,308.2454913,310.4298553,51304000
2020-09-30,311.2849731,314.4453152,309.4166408,309.6118308,104081100
2020-10-01,313.2834778,314.8636349,311.3965651,313.8876563,88698700
2020-10-02,310.309021,313.2555935,307.845814,308.3198753,89431100
2020-10-05,315.8117371,315.9976229,312.326059,312.3725234,45713100
2020-10-06,311.322113,318.0518136,310.8108917,315.9511029,90128900
2020-10-07,316.7412109,317.5498836,314.259396,314.2872803,56999600
2020-10-08,319.5483398,319.6134126,317.7636604,318.6838986,45242500
2020-10-09,322.401947,322.866704,320.5801075,321.202866,59528600
2020-10-12,327.5886841,329.0666083,324.4562258,324.9488671,80388500
2020-10-13,325.4507751,327.6258347,324.4840725,327.4492248,73255500
